
Essential List of Flavours
Product Code	Description
ESSENTIAL DAIRY CALF & BEEF ESSENCE™
2105	Essential Milk Essence™ Dry
2112	Essential Dairy Essence™ Sprayable
2113	Essential Sweet Dairy Essence™ Dry
2115	Essential Dairy Essence™ Dry
2116	Essential Sweet Dairy Essence™ Sprayable
2122	Essential Calf Essence™ Sprayable
2124	Essential Sweet Calf Essence™ Dry
2125	Essential Calf Essence™ Dry
3055	Essential Anise Essence™ Dry
3082	Essential Caramel Toffee Essence™ Sprayable
3085	Essential Caramel Toffee Essence™ Dry
3095	Essential Strawberry Essence™ Dry
3145	Essential Total Delight Essence™ Dry
5085	Essential Honey Sweet Essence™ Dry
5105	Essential Mineral Boost Essence™ Dry
6040	Orange Blossom Scent Liquid
6045	Orange Blossom Scent Dry
8285	Essential Power Punch Essence™ Dry
8325	Essential Sasparilla Twist Essence™ Dry
 
ESSENTIAL HORSE ESSENCE™
2335	Essential Horse Essence™ Dry
2344	Essential Sweet Horse Essence™ Dry
3055	Essential Anise Essence™ Dry
3095	Essential Strawberry Essence™ Dry
3122	Essential Long N' Lush Essence™ Sprayable
3125	Essential Long N' Lush Essence™ Dry
5105	Essential Mineral Boost Essence™ Dry
5162	Essential Peppermint Twist Essence™ Sprayable
5165	Essential Peppermint Twist Essence™ Dry
6222	Essential Licorice Twist Essence™ Dry
8125	Essential Tropical Banana Essence Dry
8285	Essential Power Punch Essence™ Dry
 
ESSENTIAL MODIFYING ESSENCE™
5125	Essential Ginger Spice Essence™ Dry
5105	Essential Mineral Boost Essence™ Dry
 
ESSENTIAL MULTI-USE ESSENCE™
2452	Essential Aqua Charm Essence™ Sprayable
2455	Essential Aqua Charm Essence™ Dry
3015	Essential Coconut Essence™ Dry
3054	Essential Sweet Anise Essence™ Dry
3055	Essential Anise Essence™ Dry
3066	Essential W.S. Vanilla Essence™ Dry
3075	Essential Citrus Sweet Spike Essence™ Dry
3082	Essential Caramel Toffee Essence™ Sprayable
3085	Essential Caramel Toffee Essence™ Dry
3095	Essential Strawberry Essence™ Dry
3105	Essential Fresh Fruit Essence™ Dry
3122	Essential Long N' Lush Essence™ Sprayable
3125	Essential Long N' Lush Essence™ Dry
3145	Essential Total Delight Essence™ Dry
3185	Essential Garlic Essence™ Dry
5132	Essential SweetLass Essence™ Sprayable
5135	Essential SweetLass Essence™ Dry
5162	Essential Peppermint Twist Essence™ Sprayable
5165	Essential Peppermint Twist Essence™ Dry
6040	Orange Blossom Scent Liquid
6045	Orange Blossom Scent Dry
6222	Essential Licorice Twist Essence™ Dry
8125	Essential Tropical Banana Essence™ Dry
8285	Essential Power Punch Essence™ Dry
8325	Essential Sasparilla Twist Essence™ Dry
 
ESSENTIAL PIGLET & SWINE ESSENCE™
2424	Essential Sweet Pig Starter Essence™ Dry
2425	Essential Pig Starter Essence™ Dry
2426	Essential Sweet Pig Starter Essence™ Sprayable
2465	Essential Sow Essence™ Dry
3015	Essential Coconut Essence™ Dry
3065	Essential Vanilla Essence™ Dry
3075	Essential Citrus Sweet Spike Essence™ Dry
3085	Essential Caramel Toffee Essence™ Dry
3095	Essential Strawberry Essence™ Dry
3125	Essential Long N' Lush Essence™ Dry
3145	Essential Total Delight Essence™ Dry
3185	Essential Garlic Essence™ Dry
5085	Essential Honey Sweet Essence™ Dry
5105	Essential Mineral Boost Essence™ Dry
8285	Essential Power Punch Essence™ Dry
 
ESSENTIAL SHEEP & GOAT ESSENCE™
2285	Essential Sheep Essence™ Dry
3055	Essential Anise Essence™ Dry
3075	Essential Citrus Sweet Spike Essence™ Dry
5105	Essential Mineral Boost Essence™ Dry
6045	Orange Blossom Scent Dry
 
ESSENTIAL SWEETENER ESSENCE™
5085	Essential Honey Sweet Essence™ Dry
5084	Essential W.S. Honey Sweet Essence™ Dry
5075	Essential Sweet Syrup Essence™ Dry
5072	Essential Sweet Syrup Essence™ Sprayable
